scenario_type,sender,subject,body,organization,is_phishing,timestamp
social_media,service_3281@vk-security.ru,Важное уведомление от Telegram,Ваш аккаунт Telegram был временно заблокирован...,Telegram,True,2024-11-02 12:47:30.284602
social_media,service_5408@vk-security.ru,Важное уведомление от Одноклассники,Обнаружен подозрительный вход в ваш профиль Одноклассники...,Одноклассники,True,2024-11-09 12:47:30.284622
bank,service_4141@security-bank.ru,Важное уведомление от Тинькофф,Служба безопасности Тинькофф: обнаружена попытка входа из Екатеринбург...,Тинькофф,True,2024-11-24 12:47:30.284634
social_media,service_3121@ok-account.ru,Важное уведомление от ВКонтакте,Ваш аккаунт ВКонтакте был временно заблокирован...,ВКонтакте,True,2024-11-28 12:47:30.284644
government,service_7146@gov-services.ru,Важное уведомление от Госуслуги,Портал Госуслуг: Вам начислена компенсация 8482 руб...,Госуслуги,True,2024-11-11 12:47:30.284653
bank,service_7603@bank-online.ru,Важное уведомление от Тинькофф,"Уважаемый клиент Тинькофф, Ваша карта временно заблокирована...",Тинькофф,True,2024-11-04 12:47:30.284663
bank,service_9130@secure-banking.ru,Важное уведомление от Сбербанк,Служба безопасности Сбербанк: обнаружена попытка входа из Москва...,Сбербанк,True,2024-11-06 12:47:30.284673
government,service_1057@gov-services.ru,Важное уведомление от Госуслуги,Портал Госуслуг: Вам начислена компенсация 13313 руб...,Госуслуги,True,2024-11-07 12:47:30.284682
government,service_9191@tax-portal.ru,Важное уведомление от МВД России,Портал Госуслуг: Вам начислена компенсация 13423 руб...,МВД России,True,2024-11-14 12:47:30.284691
government,service_4766@tax-portal.ru,Важное уведомление от МВД России,Уведомление о штрафе: 1524 руб. Оплатите в течение 9 дней...,МВД России,True,2024-11-09 12:47:30.284701
social_media,service_6181@ok-account.ru,Важное уведомление от Одноклассники,Ваш аккаунт Одноклассники был временно заблокирован...,Одноклассники,True,2024-11-09 12:47:30.284710
government,service_3943@tax-portal.ru,Важное уведомление от МВД России,Уведомление о штрафе: 3683 руб. Оплатите в течение 10 дней...,МВД России,True,2024-11-21 12:47:30.284719
social_media,service_6130@ok-account.ru,Важное уведомление от Telegram,Ваш аккаунт Telegram был временно заблокирован...,Telegram,True,2024-11-16 12:47:30.284730
online_shop,service_1550@delivery-express.ru,Важное уведомление от Wildberries,Ваш заказ #300439 из Wildberries готов к выдаче...,Wildberries,True,2024-11-03 12:47:30.284740
social_media,service_5263@telegram-verify.ru,Важное уведомление от Telegram,Обнаружен подозрительный вход в ваш профиль Telegram...,Telegram,True,2024-11-14 12:47:30.284749
social_media,service_2852@telegram-verify.ru,Важное уведомление от Telegram,Ваш аккаунт Telegram был временно заблокирован...,Telegram,True,2024-11-19 12:47:30.284759
online_shop,service_9442@online-shop.ru,Важное уведомление от Wildberries,Ваш заказ #522151 из Wildberries готов к выдаче...,Wildberries,True,2024-11-08 12:47:30.284768
bank,service_5288@security-bank.ru,Важное уведомление от Альфа-Банк,Служба безопасности Альфа-Банк: обнаружена попытка входа из Санкт-Петербург...,Альфа-Банк,True,2024-10-31 12:47:30.284778
social_media,service_1237@telegram-verify.ru,Важное уведомление от Telegram,Обнаружен подозрительный вход в ваш профиль Telegram...,Telegram,True,2024-11-14 12:47:30.284787
social_media,service_2120@ok-account.ru,Важное уведомление от Одноклассники,Ваш аккаунт Одноклассники был временно заблокирован...,Одноклассники,True,2024-11-22 12:47:30.284795
online_shop,service_5327@delivery-express.ru,Важное уведомление от Wildberries,Получите скидку 83% в Wildberries прямо сейчас!,Wildberries,True,2024-11-17 12:47:30.284806
social_media,service_4499@telegram-verify.ru,Важное уведомление от Одноклассники,Ваш аккаунт Одноклассники был временно заблокирован...,Одноклассники,True,2024-11-05 12:47:30.284814
online_shop,service_2396@delivery-express.ru,Важное уведомление от Wildberries,Ваш заказ #966544 из Wildberries готов к выдаче...,Wildberries,True,2024-10-31 12:47:30.284823
bank,service_6584@bank-online.ru,Важное уведомление от Тинькофф,"Уважаемый клиент Тинькофф, Ваша карта временно заблокирована...",Тинькофф,True,2024-11-15 12:47:30.284832
online_shop,service_4738@online-shop.ru,Важное уведомление от Wildberries,Получите скидку 50% в Wildberries прямо сейчас!,Wildberries,True,2024-11-08 12:47:30.284841
social_media,service_7527@ok-account.ru,Важное уведомление от ВКонтакте,Ваш аккаунт ВКонтакте был временно заблокирован...,ВКонтакте,True,2024-11-15 12:47:30.284850
social_media,service_4497@telegram-verify.ru,Важное уведомление от ВКонтакте,Ваш аккаунт ВКонтакте был временно заблокирован...,ВКонтакте,True,2024-10-31 12:47:30.284860
social_media,service_4704@telegram-verify.ru,Важное уведомление от Telegram,Ваш аккаунт Telegram был временно заблокирован...,Telegram,True,2024-11-12 12:47:30.284869
social_media,service_5421@vk-security.ru,Важное уведомление от Telegram,Обнаружен подозрительный вход в ваш профиль Telegram...,Telegram,True,2024-11-09 12:47:30.284878
bank,service_8789@secure-banking.ru,Важное уведомление от ВТБ,Служба безопасности ВТБ: обнаружена попытка входа из Екатеринбург...,ВТБ,True,2024-11-10 12:47:30.284888
online_shop,service_5648@delivery-express.ru,Важное уведомление от Wildberries,Ваш заказ #297690 из Wildberries готов к выдаче...,Wildberries,True,2024-11-19 12:47:30.284898
social_media,service_2710@ok-account.ru,Важное уведомление от Одноклассники,Ваш аккаунт Одноклассники был временно заблокирован...,Одноклассники,True,2024-11-24 12:47:30.284907
government,service_7297@gov-services.ru,Важное уведомление от ФНС России,Портал Госуслуг: Вам начислена компенсация 8589 руб...,ФНС России,True,2024-11-05 12:47:30.284917
