ت;Email Text;Email Type
1;"المساعدة التجارية العاجلة والشراكة.


صديقي العزيز،

أنا (الدكتور) جيمس نغولا ، المساعدة الشخصية للكونغوليز المتأخرة (الرئيس لوران كابيلا) الذي اغتيل من قبل حارس جسده في 16 يناير. 2001.


الحادث الذي وقع في وجودنا بينما كنا نعقد الاجتماع مع الولايات المتحدة الأمريكية المتميزة على حساب العائدات المالية من مبيعات الماس في المناطق التي تسيطر عليها جمهورية الكونغو الديمقراطية وقواتها الأجنبية وحلفائها. 100 مليون دولار) مائة مليون دولار أمريكي ، نقدًا في ثلاثة صناديق دبلوماسية يتم توجيهها عبر زيمبابوي.

هدفي من كتابة هذه الرسالة هو طلب مساعدتك لتكون بمثابة غطاء للصندوق وكذلك التعاون أيضًا في نقل الصندوق المدعوم إلى حسابك المصرفي بمبلغ (25 مليون دولار أمريكي) وخمسة وعشرين مليون دولار أمريكي فقط. أودعت لدى شركة أمنية في غانا ، في صندوق دبلوماسي بقيمة الذهب (25 مليون دولار أمريكي) خمسة وعشرون مليون دولار أمريكي فقط من أجل الاحتفاظ بأمان في صندوق أمني لأي فترات استثمار أخرى في بلدك.

لقد تم تقديمك إلي من قِبل صديق موثوق به لي وهو مسافر ، وأيضًا عضو في غرفة التجارة كشخص موثوق به وجدير بالثقة يمكنني الاعتماد عليه كشريك أجنبي ، حتى لو لم تكن طبيعة المعاملة له لأسباب أمنية.


كان (25 مليون دولار أمريكي) جزءًا من إجراءات تجارة الماس تعني الرئيس المتأخر لوران كابيلا الذي تم تسليمه من خلال زيمبابوي في صناديق دبلوماسية. كانت الصناديق تحت حراستي قبل الحدث الحزين الذي أودى بحياة (السيد الرئيس). الارتباك الذي تم تبنيه بعد الاغتيال وإطلاق النار المفاجئ بين الفصول ، كان علي أن أذهب بعيدًا عن البلد أنا لست جنديًا ولكني خادمًا مدنيًا عبرت نهر الكونغو إلى الجانب الآخر من الكونغو ليبرفيل من هناك انتقلت إلى البلد الثالث غانا حيث أتلقى حاليًا اللجوء.

كأمر واقع ، فإن ما أحتاجه بشكل عاجل منك هو مساعدتك في نقل هذا المال إلى حسابك في بلدك للاستثمار دون رفع الحاجب. لمساعدتك ، سأمنحك 20٪ من المبلغ الإجمالي كحصة لك عندما تصل الأموال إلى حسابك ، في حين أن 75٪ سيكون بالنسبة لي ، وأتمنى من خلال نصيحتك العينية الاستثمار في مشروع مربح في بلدك غير ذلك للاستقرار من أجل حياة رائعة ، لأنني تعبت من العيش في بيئة حرب.

سيتم استخدام الـ 5٪ المتبقية لتعويض أي تكلفة يتم تكبدها بسبب تحويل الأموال إلى حسابك. إذا كان العرض مقبولاً لك ، فيرجى الاتصال بي على الفور من خلال الهاتف والبريد الإلكتروني أعلاه ، لتمكينني من ترتيب وجهي للاجتماع معك في غانا لتخليص الأموال قبل أن يتم تحويلها إليكم.

أخيرًا ، من المهم أيضًا أن أتركك تدرك أنه لا توجد مخاطر متضمنة على الإطلاق نظرًا لعدم وجود سجل في المال في كنشاسا لأنه كان ضروريًا للاستخدام الشخصي لـ (السيد الرئيس) قبل وقوع الحادث غير المسبوق. جميع المستندات الضرورية فيما يتعلق بالأموال بما في ذلك (شهادة الإيداع) ، بصفتي مودع الحوالة.


نتطلع إلى استجابتك العاجلة.

المخلص لك،

السيد. جيمس نجولا.";Phish Email - 1
2;"صديقي العزيز،

أنا السيد بن سليمان ضابط جمارك وأعمل كمساعد مراقب في إدارة الجمارك والضرائب بالوزارة الاتحادية للشؤون الداخلية المتمركزة في مطار مورتالا محمد الدولي ، إيكيجا ، لاغوس- نيجيريا.

بعد الوفاة المفاجئة لرئيس الدولة النيجيري السابق الجنرال ساني أباشا في 8 يونيو 1998 ، تم إلقاء القبض على مساعديه وأفراد عائلته المباشرين أثناء محاولتهم الهروب من نيجيريا على متن طائرة مستأجرة إلى المملكة العربية السعودية مع 6 صناديق من الأمتعة تحمل علامة ""أمتعة دبلوماسية"". "". بناءً على بلاغ أثناء محاولتهم الصعود إلى الطائرة ، أجرى المسؤولون التابعون لي بحثًا شاملاً على الطائرة واكتشفوا أن صناديق الأمتعة الستة تحتوي على عملات أجنبية تصل إلى 197،570،000.00 دولارًا أمريكيًا (مائة وسبعة وتسعون مليونًا وخمسمائة) سبعون ألف دولار أمريكي).

لقد أعلنت (5) خمسة صناديق فقط للحكومة وحجزت صندوقًا واحدًا (1) في عهدي يحتوي على مبلغ (30.000.000.00 دولارًا أمريكيًا) ثلاثون مليون دولار أمريكي فقط ، والذي تم إخفاؤه لمنع اكتشافها أثناء عملية النقل. عدة تقارير إعلامية عن رئيس الدولة الراحل عن كل الأموال التي سرقها هو ومسؤولون حكومته من خزينة حكومتنا والتي تبلغ قيمتها.
إلى 55 مليار دولار أمريكي (المرجع: ngrguardiannews.com) بتاريخ 2 يوليو 1999. حتى صحيفة لندن تايمز في يوليو 1998 ذكرت أن الجنرال أباتشا لديه أكثر من 3. مليار دولار أمريكي في حساب واحد في الخارج. قررنا إخفاء هذا المربع الواحد (1) حتى يهدأ الموقف تمامًا. وهكذا تم إيداع الصندوق لدى شركة أمنية هنا في نيجيريا ووسم بأنه ""أحجار كريمة ومجوهرات"" في أخرى
لن يتم اكتشاف المحتوى. الآن بعد أن هدأ كل شيء ، نحن (أنا واثنان من زملائي في فريق العمليات) مستعدون الآن لنقل هذا الصندوق خارج البلاد من خلال ترتيب دبلوماسي وهو أكثر الوسائل أمانًا.

ومع ذلك ، بصفتنا مسؤولين حكوميين ، لا تسمح لنا مدونة قواعد سلوك الخدمة المدنية بموجب القانون بتشغيل أي حساب أجنبي أو امتلاك استثمار أجنبي ومبلغ الأموال التي يمكن العثور عليها في حسابنا
لا يمكن أن يكون أكثر من راتبنا في المتوسط ​​، وبالتالي فإن تطبيقنا وحاجتنا لمساعدتكم للمساعدة في جمع هذه الأموال والاحتفاظ بها بأمان في حسابك.

لذلك نريد منك مساعدتنا في نقل هذه الأموال خارج نيجيريا. سنقوم بالتأكيد بتعويضك بسخاء على المساعدة. يمكننا القيام بذلك عن طريق إصدار تعليمات لشركة الأمن هنا في نيجيريا
نقل الشحنة إلى مكتب الفرع التابع لها خارج نيجيريا من خلال الوسائل الدبلوماسية وسيتم تسمية الشحنة بالأحجار الكريمة والمجوهرات ""التي اشتريتها أثناء زيارتك لنيجيريا ويتم نقلها إلى بلدك من هنا لحفظها بأمان. ثم يمكننا الترتيب للاجتماع في بلد المقصد لاستلام الشحنة. وبعد ذلك ، ستفتح حسابًا هناك وتودع الأموال هناك وتوجه تدريجيًا التحويل إلى بلدك.

هذا العمل خالٍ من المخاطر بنسبة 100٪ ، لذا يرجى التعامل مع هذا الأمر بمنتهى السرية. إذا أعربت عن اهتمامك بمساعدتنا ، فيرجى فقط إرسال بريد إلكتروني إلي لمزيد من التوضيح حول كيفية التخطيط لتنفيذ المعاملة.

نتوقع ردك على وجه السرعة.

أطيب التحيات،

السيد بن سليمان";Phish Email - 2
3;"من جلالة الملك (HRM) حاكم تاج مملكة إليم
الرئيس دانييل إليم ، دكتوراه ، EZE 1 من ELEME
العنوان: obong_715@epatra.com

تنبيه: الرئيس ، الرئيس التنفيذي سيدي / سيدتي.

قد تفاجئك هذه الرسالة لأننا التقينا
لا شخصيًا ولا عن طريق المراسلة. لكن انا اؤمن
إنه ذات يوم تعرفت فيه على شخص ما أيضًا
المادية أو من خلال المراسلات.

لقد تلقيت اتصالك من خلال استفسار سري من
غرف التجارة والصناعة في بلدك
الشبكة ، تم الكشف عنك أنت ومنظمتك كـ
كونك ذكيًا جدًا في ريادة الأعمال الخاصة ، واحد
ليس لديه شك في قدرتك على التعامل مع المعاملات المالية.

ومع ذلك ، فأنا الابن الأول لملكه
جلالة الملك د. Eleme ، والحاكم التقليدي لـ
مقاطعة إليم في منطقة إنتاج النفط من نهر
دولة نيجيريا. أنا أقوم بالاتصال بك في
فيما يتعلق بمبلغ 60.000.000.00 دولار أمريكي (ستون مليون دولار أمريكي
دولارات الدولة) ، التي ورثتها ، من والدي الراحل.

تم تجميع هذه الأموال من الإتاوات المدفوعة لي
الأب كتعويض من قبل شركات النفط المتواجدة في منطقتنا
المنطقة نتيجة التواجد النفطي على أرضنا
تعيق الزراعة ، التي هي مصدر رزقنا الرئيسي.

للأسف توفي والدي من مطول
السكري ولكن قبل وفاته لفت انتباهي
وأبلغني أنه أودع بعض الأموال على اثنين
صناديق مع شركة أمن مع مستفيد مفتوح
حالة. كان رقم رمز أمان الإيداع أيضًا
كشف لي ، ثم نصحني بالبحث عن
شريك تجاري موثوق به في الخارج ، سيساعدني
في استثمار الأموال في عمل مربح باعتباره
نتيجة لعدم الاستقرار الاقتصادي في نيجيريا. اذن هذا هو
السبب الرئيسي للاتصال بك حتى ننتقل
هذه الأموال من شركة الأمن إلى أي بلد
اختيارك لغرض الاستثمار.

لذلك أود أن تكون المستفيد النهائي ، لذلك
أنه يمكن نقل الأموال باسمك و
تفاصيل لأي بلد من اختيارك حيث
سيتم المطالبة بها واستثمارها. ومن ثم كان والدي
أوحى أفراد شركة الأمن بأن
المستفيد من الصندوق هو شريكه الأجنبي الذي
سيتم إرسال التفاصيل إلى الشركة عند استحقاقها.

لكنني سأوجهك وفقًا لذلك. بمجرد الأموال
تصل ، ثم سأحضر لمقابلتك شخصيًا ، لذلك
يمكننا مناقشتها جسديًا بشأن الاستثمار
الإمكانات. بناءً على هذه المساعدة أنا وعائلتي
قررت بالإجماع منحك 30٪ من الإجمالي
مال ، 5٪ لمنزل خيري ، 10٪ للمصروفات
قد تنشأ أثناء هذه المعاملة ، فواتير الفاكس والهاتف
شامل. المبلغ المتبقي 55٪ الذي ستستثمره وتديره لعائلتي.

أضمن لكم بموجب هذا أن هذه ليست حكومة
المال ، ليس من أموال المخدرات وليس من المال
صفقة أسلحة. على الرغم من أنه يجب عليك الحفاظ على درجة عالية من
السرية في هذا الشأن. سأعطي المزيد
تفاصيل حول إجراءات هذه الصفقة
بمجرد أن أتلقى ردك الإيجابي.

يرجى الرد على عنوان بريدي الإلكتروني: obong_715@epatra.com
آمل أن تكون هذه بداية مزدهرة
العلاقة بين عائلتي وعائلتك.

ومع ذلك ، إذا كنت غير مهتم لأي سبب ،
أرجو إبلاغي على الفور حتى أبحث عن جهة اتصال أخرى.

أنا في انتظار ردك السريع.

تفضلوا بقبول فائق الاحترام،

الأمير Obong الاباتي";Phish Email - 3
4;"يوم جيد عزيزي

أعلم أن هذا البريد سيأتي إليك كمفاجأة ومع ذلك فأنا السيدة ليديا جونسون وعمري 59 عامًا زوجة الرائد ستيفن جونسون كبير ضباط الأمن ومساعد الرئيس المنفي تشارلز تايلور من ليبيريا ، نتيجة للمشكلة المستمرة في بلدي ، أشعر بالضيق مشاكل صحية من مرض السكري الذي طال أمده وارتفاع ضغط الدم الذي يزداد الأهم من ذلك هو الحصول على شخص يستحق الثقة في الخارج لتلقي مبلغ 7 مليون دولار أمريكي نيابة عنا بسبب أزمات الحرب هذه حاليًا في مدينتي مونروفيا ، مسقط رأسنا ، تمكنت من التسلل إلى نفسي وابني ديفيد 23 عامًا وأربعة من بناتي الأخريات من مونروفيا إلى داكار السنغال من أجل السلامة كنا تسلل إلى داكار السنغال عبر الحدود البرية بمساعدة البعض جماعة حكومية مسلحة بعد مقتل زوجي على يد عائلة المتمردين قررنا القدوم إلى هنا إلى داكار السنغال لتأمين الوديعة في شركة التمويل من قبل زوجي والبحث عن ثقة جديرة بالثقة فرد بالخارج لتلقي هذه الإيداعات التي تم إيداعها هنا في داكار السنغال قبل أن يقتل في النهاية على أيدي المتمردين الذين لا قلب لهم
لذلك واثق من أن أقدم نفسي لك بناءً على هذه المشكلة ووضعنا الحالي حيث ضاعت جميع اتصالاتنا واتصالاتنا الخارجية خلال هذه الأزمات جميع الممتلكات التي أحرقها المتمردون أنا في حاجة ماسة لنقلها وإعادة تحديد موقع هذه الوديعة الضخمة الخاصة بك دولة للحفظ الآمن لأن هذه هي الثروة الوحيدة المتبقية من أجل البقاء في المستقبل ورفاهية عائلتي الكبيرة بالنسبة المئوية للمساعدة ، ستكون النسبة المئوية القابلة للتفاوض تمت مناقشته بمجرد أن أتلقى إجابتك بناءً على هذا التماس لك المساعدة لأن حياتنا في خطر كبير بسبب هذه المشكلة ، أدعو الله وأطلب مساعدتك ، يمكنك مراسلتي عبر البريد الإلكتروني مزيد من الإيضاحات بارك الله فيك كما ترد على مناشدتي مساعدة.

بإخلاص

خاصة بك

السيدة ليديا جونسون";Phish Email - 4
5;"من MR. جودوين أكويزي
هاتف: +233 208216645
فاكس: +233 27621073
قبل أن أقدم نفسي ، أود أن أبلغكم أن هذه الرسالة ليست البريد الخادع وأنا أحثك ​​على التعامل معه بجدية. يجب أن تأتي هذه الرسالة إليك كمفاجأة كبيرة ، لكنني أعتقد أنه مجرد يوم يلتقي فيه الناس و أصبحوا أصدقاء وشركاء تجاريين رائعين.
اسمي السيد Godwin Akwesi ، مدير الفرع الحالي لأحد البنوك هنا غانا. أكتب لكم هذا الاقتراح بحسن نية ، مؤمنًا أنني أستطيع الوثوق أنت بالمعلومات التي أنا على وشك الكشف عنها لك. كما قلت ، لدي معاملة ستفيد كلانا ، حيث أن مساعدتك مطلوبة كأجنبي. اعتدت على رئاسة قسم الحسابات في رئيس البنك الخاص بي مكتب ، ولكن في ديسمبر الماضي طُلب مني أن أتولى منصب مدير لدينا في كوماسي الذي وافته المنية ، وهكذا أصبحت حاضرا واكتشف مدير ثروة. عندما استأنفت واجبي ، اكتشفت أن حساب بمبلغ إجمالي قدره 12،500،000 مليون دولار لم يتم تشغيله على مدى السنوات الأربع الماضية. من تحقيقاتي ، اكتشفت أن هذا حساب ينتمي إلى واحد الراحل السيد موريس طومسون وهو أميركي عظيم صناعي ومقيم في ألاسكا ، الذي فقد حياته للأسف في
تحطم طائرة رحلة طيران ألاسكا رقم 261 التي تحطمت في 31 يناير عام 2000 ، بما في ذلك زوجته وابنته الوحيدة.
يجب أن تقرأ المزيد من الأخبار حول الحادث عند زيارتك لهذا الموقع الذي حصلت عليه أثناء استقصائي ؛
<http://www.cnn.com/2000/US/02/01/alaska.airlines.list/> و
//www.nativefederation.org/history/people/mThompson.html
الحساب عبارة عن حساب استدعاء الضمان ، وهو نوع سري للحساب في مصرفي ولا يعرف أي شخص آخر عن هذا الحساب أو أي شيء يتعلق به ، الحساب ليس له مستفيد آخر. لقد ظللت أراقب عن كثب الحساب منذ ذلك الحين ولم يتقدم أحد للسؤال عن الأموال كأقرباء للراحل السيد موريس طومسون ، مما يعني أنه لا يوجد أحد علم بالحساب.
لا يمكنني أخذ هذه الأموال مباشرة دون مساعدة من أجنبي و لهذا السبب أتصل بك للحصول على مساعدة للمطالبة بالأموال و تقاسمها مع لي. بصفتي مدير فرع البنك الذي أتعامل معه ، لدي صلاحية القيام بذلك
التأثير على الإفراج عن الأموال لأي أجنبي يأتي باسم أقرب أقرباء الحساب بالمعلومات الصحيحة المتعلقة بـ
الحساب الذي سأعطيك إياه.
أسعى للحصول على تعاونكم لتقديمك كأقرب أقرباء لـلحساب ، حتى يقوم مقر البنك الذي أتعامل معه بتحرير الأموال لك.
لا يوجد أي خطر عمليًا ، سيتم تنفيذ المعاملة بموجب ترتيب شرعي يحميك من أي خرق
قانون.
إذا قبلت العمل معي ، فأنا أريدك أن توضح كيف تتمنى لنا ذلك مشاركة الأموال بالنسبة المئوية ، بحيث يكون الطرفان راضين.
اتصل بي بمجرد تلقي هذه الرسالة إذا كنت تشعر أنه يمكننا العمل معًا ، حتى نتمكن من استعراض التفاصيل.
شاكرا لكم مقدما وبارك الله فيكم.
من فضلك ، تعامل بمنتهى السرية. أنتظر ردك العاجل.
يمكنك أيضًا الاتصال بي عبر الهاتف الرقم +233208216645.
يعتبر،
السيد غودوين أكويزي.";Phish Email - 5
6;"يوم سعيد لك.

لديّ مبلغ تنميط قدره 56 مليون دولار أمريكي مضمون بعملة بنك خاص في الخارج. أطلب مساعدتكم في تأمين هذه الأموال في حساب آمن لأغراض الاستثمار المستقبلية ولكن تتطلب الحد الأقصى سرية. هذا بورن من حقيقة أنني ما زلت نشطة الخدمة في الوزارة هنا في اسكتلندا-المملكة المتحدة.

بناءً على ردك الإيجابي على اقتراحي ، سأزودك بـالمعلومات التالية:

* كيف سأقدم لك / شركتك إلى البنك القابضة وأجعلك
المستفيد من المال.

* من أنا ولماذا قررت أن أطلب مساعدتك.

* ما هي النسبة المئوية من المال التي أرغب في تقديمها لك مقابل مساعدتك.

يرجى الرد بأرقام الهاتف والفاكس الخاصة بك بشكل أسهل وأسرع
تواصل.

مايكل سميث";Phish Email - 6
7;"يرجى الانتباه،
 
يوم سعيد وبارك الله فيك. إنه مع إحساس عميق بالالتزام والإيمان على ثقة من أنني أقدم لكم اقتراح الأعمال هذا الخالي من المخاطر والسرية لمساعدتكم. أنا آسف بشدة إذا كنت قد أزعجت بأي شكل من الأشكال
خصوصيتك.
 
أنا السيد محمد يوسف رئيس دائرة التدقيق في شركة كونتيننتال بنك في كوتونو جمهورية بنين. في الآونة الأخيرة ، اكتشفت حساب دومانت بمبلغ ضخم من المال بلغ USD15.500،154.22 (خمسة عشر
مليون وخمسمائة ألف ومائة وأربعة وخمسون دولارًا ، اثنان تايسنتان) التي تنتمي إلى أحد عملائنا ، السيد بيير جونسون من ألمانيا الذي توفي في حادث مروع منذ بضع سنوات.
خلال فترة التحقيق اكتشفت أن المتوفى غادر لا توجد إرادة ولا أحد يتخلف عن المطالبة بهذا الصندوق باعتباره التالي من الأقارب. منذ ذلك الحين ، قمت بعدة استفسارات لمعرفة ما إذا كان بإمكاني تحديد الموقع أي من الأقارب المتوفين ولكن ثبت فشل كل الجهود.


لذلك ، قررت الاتصال بك لمساعدتي في المطالبة بهذه المتعة مع هذا البنك باعتباره المتوفى من أقرب الأقارب لمطالبة الصندوق. أنا أريد أيضًا أن أعلمك أنه بصفتك رئيسًا لقسم التدقيق من هذا البنك أن هذا الصندوق يدفع لك مباشرة إلى حسابك من البنك التابع لنا في مدريد إسبانيا وهو CITY BANK ON LINE bu علينا الحصول على الموافقة من مصرفنا هنا وهو القارة بنك بنين وبعد الحصول على الموافقة ، سيقومون بالإبلاغ البنك التابع لنا في مدريد إسبانيا لإجراء تحويل int الحساب الخاص بك. كن على علم أيضًا أن معي كل المعلومات الضرورية من المتوفى مما سيساعدنا في المطالبة بالصندوق بنجاح.
 
سأكون محل تقدير كبير لردكم الإيجابي على هذا الاقتراح سيقدم لك المزيد من التفاصيل حول كيفية تقديم المطالبة من هذا البنك. لا تتردد في الاتصال بي على رقمي الخاص (229) 28 30 63 لـأي سؤال قد ترغب في طرحه علي.  
توقع ردك العاجل.
 
يعتبر،
السيد محمد يوسف.";Phish Email - 7
8;"مرحبا اعز واحد

أنا أكتب هذه الرسالة مع الاحترام الواجب وبكائي لأننا لم نعرف أو التقينا بأنفسنا من قبل ، أطلب مساعدتك بعد أن قمت ببحثي ووجدت جهة الاتصال الخاصة بك eamil ، أعتقد أنك قادر على مساعدتي.

 سأكون سعيدًا جدًا إذا سمحت لي وقادتني إلى القناة الصحيحة من أجل مساعدتك لوضعي الآن ، سأجعل اقتراحي معروفًا جيدًا إذا أتيحت لي الفرصة وأود أن أغتنم هذه الفرصة لتقديم نفسي لك.

أنا فيكتوريا كاريجاي ، فتاة تبلغ من العمر 22 عامًا من رواندا ، وأعلم أن هذا الاقتراح قد يكون مفاجأة لك ، لكنني أعتبره حالة طارئة باختصار ، كان والدي الراحل الدكتور مايكل كاغامي كاريجاي هو العضو المنتدب والمدير لشركة Royal Dimaond COMPANY KIGALI عاصمة رواندا ولكن لقد قُتل جنبًا إلى جنب مع والدتي خلال الحرب الأهلية الطويلة ودمرت جميع ممتلكاته تمامًا ولكن بعد وفاتهم تمكنت من الفرار بوثيقة مهمة جدًا لشهادة الإيداع التي قدمها باسمي في أحد البنوك والتي سأخبرك بها. المبلغ عندما أتلقى ردك.

الآن لديّ مطالبة رسمية بالمال مع جميع المستندات ذات الصلة التي قدمها والدي وبعد سلسلة من الاستفسار والتحقيق في طلبي ، وافق البنك على مطالبتي ولكن نظرًا لقوانين السياسة النقدية المصرفية الدولية الجديدة لا تسمح لأي شخص يتمتع بوضع اللاجئ بتشغيل البنك الحساب وبما أنني أركض من أجل حياتي العزيزة.

لقد تم نصيحتي للبحث عن جهة اتصال أجنبية جديرة بالثقة تساعدني في تقديم هذه المطالبة على سلوكي وهذا هو السبب في أنني قررت الاتصال بك إذا كان بإمكانك تحديد وقتك وعقلك للاتصال بالبنك.
سأقدم لك كل المستندات المتعلقة بهذه الصفقة وأخبرك بالمزيد من التفاصيل عندما أسمع منك.
شكرا لمنحي وقتك لقراءة اقتراحي وأنا في انتظار سماع منك.
أتمنى لك كل خير.
لك فيكتوريا.";Phish Email - 8
9;"محبوب

أنا السيدة كومفورت سومبا من الهند ، أنا متزوجة من السيد دانيال سومبا الراحل الذي عمل مع سفارة الهند في ساحل العاج لمدة تسع سنوات قبل وفاته في عام 2001 ، تزوجنا لمدة أحد عشر عامًا بدون طفل. لمدة أربعة أيام فقط

منذ وفاته ، قررت عدم الزواج مرة أخرى أو الحصول على طفل خارج منزل الزوجية الذي يعارضه الكتاب المقدس عندما كان زوجي الراحل على قيد الحياة ، أودع مبلغ 55 مليون دولار و 28 وخمسة ملايين وخمسمائة ألف دولار أمريكي في إحدى شركات الأمن هنا في أبيدجان

أخبرني طبيبي مؤخرًا أنني أعاني من مرض خطير وهو مشكلة السرطان ، وأكثر ما يزعجني هو مرض السكتة الدماغية بعد أن علمت بحالتي ، قررت التبرع بهذا الصندوق إلى كنيسة أو فرد سيستفيد منه بالطريقة التي سأقوم بتوجيهها. هنا

أريد شخصًا يخشى الله أن يستخدم هذا الصندوق لدار الأيتام والأرامل لنشر كلمة الله والسعي للحفاظ على بيت الله. ليس لدي أي طفل يرث هذا المال ولا أريد أن تضيع جهود زوجي أو يتخلى عنها أو أن يتم استخدام هذه الأموال بطريقة غير صالحة.

نظرًا لظروفي الصحية ، قمت بإرسال جميع المستندات اللازمة المطلوبة لهذا الصندوق والتي تم الإفراج عنها إلى شركة الأمن وأيضًا خطاب تفويض يوجه شركة الأمن إلى الإفراج عن هذا الكنز العائلي المودع إليك بمجرد تعريفك لشركة الأمن على أنها أودع المستلم كنوز الأسرة

يرجى الاتصال بشركة الأمن واطلب هذا الكنز العائلي المودع كما وجهتك

املا في تلقي ردكم على الفور
لك في المسيح
السيدة كومفورت سومبا";Phish Email - 9
10;"صديقي العزيز

أنا محامي جيم دوغلاس محامٍ ومحامي شخصي
محامي السيد نيل فريزر ، وهو مواطن فرنسي اعتاد أن يكون أ
مقاول خاص مع شركة شل لتطوير البترول في
يشار إلى السنغال فيما يلي باسم موكلي في الحادي والعشرين
في أبريل 2001 ، شارك هو وزوجته وأطفالهما الثلاثة
في حادث سيارة فقد جميع ركاب السيارة لسوء الحظ
الأرواح

منذ ذلك الحين قمت بعدة استفسارات مع سفارات بلاده
لتحديد موقع أي من موكلي الأقارب الممتدة وقد ثبت هذا
فاشلة بعد هذه المحاولات العديدة الفاشلة قررت الاتصال
أنت بخصوص اقتراح الشراكة التجارية هذا الذي اتصلت بك من أجله
المساعدة في إعادة مبلغ ضخم من المال تركه موكلي وراءه
قبل مصادرتها أو إعلان عدم صلاحيتها للخدمة من قبل
شركة الضمان المالي حيث أودع هذا الوديعة الضخمة كان للمتوفى أ
وديعة تقدر قيمتها حاليًا بـ 21 مليون دولار أمريكي ولديها الشركة
أصدر لي إشعارًا لتزويده بأقاربه أو المستفيد من قبل Will
وإلا تمت مصادرة الحساب خلال الثلاثين مسؤولاً التاليين
أيام العمل

منذ أن لم أنجح في تحديد مكان الأقارب لأكثر من 2
منذ سنوات ، أطلب موافقتك على تقديمك على أنك من أقرب الأقارب ويل
المستفيد للمتوفى بحيث تقدر حصيلة هذا الحساب
بقيمة 21 مليون دولار أمريكي يمكن دفعها لك وسيتم صرفها أو
شارك في هذه النسب 60٪ لي و 40٪ لك
لدي جميع المستندات القانونية اللازمة التي يمكن استخدامها لعمل نسخة احتياطية من أي منها
الادعاء أننا قد نقدم كل ما أطلبه هو تعاونك الصادق
السرية والثقة لتمكيننا من رؤية هذه المعاملة من خلال

أضمن لك أن هذا سيتم تنفيذه بموجب قانون
الترتيب الذي سيحميك من أي خرق للقانون من فضلك
تواصل معي بشكل عاجل عن طريق البريد الإلكتروني barjim123yahoocom mailtobarjim123yahoocom أنا
حاليا في داكار
من فضلك زودني بما يلي
1 الاسم الكامل
2 رقم هاتفك ورقم الفاكس
3 عنوان الاتصال الخاص بك

سيكون ردك العاجل متوقعًا ومقدرًا للغاية
أطيب التحيات

حقا لك";Phish Email - 10
