email_text,hostname,scan_duration,host_up,alternate_ip_count,ip_address,common_web_ports_open,open_ports_count,latency,filtered_ports_count,open_ports,rdns_record,https_supported,services,host_found,interesting_url,asn_found,ip_found,email_type
"Hello I am your hot lil horny toy.
    I am the one you dream About,
    I am a very open minded person,
    Love to talk about and any subject.
    Fantasy is my way of life, 
    Ultimate in sex play.     Ummmmmmmmmmmmmm
     I am Wet and ready for you.     It is not your looks but your imagination that matters most,
     With My sexy voice I can make your dream come true...
  
     Hurry Up! call me let me Cummmmm for you..........................
TOLL-FREE:             1-877-451-TEEN (1-877-451-8336)For phone billing:     1-900-993-2582
-- 
_______________________________________________
Sign-up for your own FREE Personalized E-mail at Mail.com
http://www.mail.com/?sr=signup",www.mail.com,43.17,1,0,82.165.229.59,1,3,0.0031,996,"80, 443, 443, 8008, 80, 8008, 443, 80, 8008",,1,"https, http, https, http, https, http",0,0,0,0,Phishing Email
"On Sun, Aug 11, 2002 at 11:17:47AM +0100, wintermute mentioned:
> > The impression I get from reading lkml the odd time is
> > that IDE has gone downhill since Andre Hedrick was 
> > effectively removed as maintainer. Martin Dalecki seems
> > to have been unable to further development without 
> > much breakage. 
> 
> Hmm... begs the question, why remove Handrick?
> If it ain't broke, don't fix it. See, the IDE subsystem is like the One Ring. It's kludginess, due to
having to support hundreds of dodgy chipsets & drives means that it is
inherintly evil. A few months of looking at the code can turn you sour.
Years of looking at it will turn you into an arsehole. They haven't found a hobbit that can code, so mortal humans have to
suffice. Kate
-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie",,0.12,0,0,,0,0,,0,,,0,,0,0,0,0,Safe Email
"URL: http://www.newsisfree.com/click/-5,8304313,1717/
Date: 2002-09-27T08:51:29+01:00[IMG: http://www.newsisfree.com/Images/fark/cbc.ca.gif ([CBC])]",www.newsisfree.com,43.78,1,1,104.21.22.148,1,5,0.0096,994,"80, 8008, 80, 8443, 8080, 8008, 443, 8080, 8443, 8008, 443, 80, 8080, 443, 8443",,1,"https-alt, http-proxy, https, http, https-alt, http-proxy, http, https, https-alt, http, https, http-proxy",0,0,0,0,Safe Email
"begin forwarded text Date: Wed, 25 Sep 2002 13:57:15 -0400 To: Digital Bearer Settlement List From: ""R. A. Hettinga"" Subject: California needs intelligent energy deregulation Sender: http://www.siliconvalley.com/mld/siliconvalley/4144696.htm?template=contentModules/printstory.jspPosted on Tue, Sep. 24, 2002 Dan Gillmor: State needs intelligent energy deregulationBy Dan Gillmor Mercury News Technology ColumnistThe facts were trade and government secrets at the time. But the energy industry failed the smell test in 2000 and 2001 as it tried to justify soaring wholesale electricity and natural-gas prices in California.Now, as investigators and regulators unravel the reasons for a financial and fiscal mess we'll be cleaning up for decades, we're learning what everyone suspected. Market games helped engineer the price spikes.The latest manipulation was highlighted in Monday's finding by a federal administrative law judge, who said a dominant natural-gas company squeezed supplies in order to squeeze customers. His ruling came a few days after California's Public Utilities Commission reported that electricity generators mysteriously failed to use available capacity during the crunch, also driving up prices.And don't forget the sleazy games by energy traders who gleefully worked the system, in schemes best summed up by an Enron insider's boast in a memorandum made public in May, that ``Enron gets paid for moving energy to relieve congestion without actually moving any energy or relieving any congestion.''How much of this was illegal, as opposed to simply amoral, remains to be seen. Unfortunately, California's response -- confusion, lawsuits and policy tweaks -- hasn't been sufficient.More unfortunately, even if the state suddenly did all the right things -- including a hard-nosed program designed to free ourselves from the gougers' grips -- we would need a willing federal partner. But it's foolish to think that the Bush administration would do much to help one of its least favorite states, or do anything that conflicts with its love of traditional, non-renewable energy sources.If the lawsuits against various energy companies and traders bear any fruit, the best we can expect is to pay off some of the massive debts the state amassed to prevent a total collapse in early 2001. That's a reasonable approach, but don't expect miracles.State policies are moving the wrong way on utility regulation, meanwhile. Instead of relentlessly pursuing smart deregulation -- still a good idea if it gives customers genuine choices -- state laws and regulations ``put the utilities back in the business of buying energy for captive customers,'' notes V. John White, executive director of the Sacramento-based Center for Energy Efficiency and Renewable Technologies (www.ceert.org).It's tempting to call for an outright state takeover of the utilities -- tempting but a bad idea. When there's genuine competition, as we could achieve in electricity generation, the private sector tends to do a better job. Instead of abandoning deregulation, California should find a way to inject real competition into the market.We do need to recognize that the current system of delivering electricity defies privatization, at least under current conditions. Smart regulation is essential.But the best response to gouging is to use less of what the gougers control. There are two ways: conservation and replacement. We need more of both.The best recent step is a new state law that slowly but surely ratchets up the use of electricity from renewables. By 2017, California's utilities will have to get 20 percent of their power from solar and other renewable sources. Several power companies are expected to do this even sooner.But this law has an element of old-line thinking, the captive-customer model we need to be getting away from, not sustaining. Lip service to newer ideas isn't enough.The state should be removing barriers to micro-generation systems, small generators that can run on a variety of fuels and provide decentralized, harder-to-disrupt electricity to homes and businesses. This technology is coming along fast. State policies are not keeping pace.Investing to save energy is increasingly the smartest move of all. California should be doing more to encourage this, whether through tax incentives or outright grants in low-income households. California hasn't done badly on conservation in a general sense, and energy customers did react to last year's soaring rates and blackouts by cutting back, but it's lunacy to wait for the next crisis when we can do something to avoid it altogether.Maybe this is all pointless. The Bush administration's energy policies, so grossly tilted toward the unholy trinity of oil, coal and nuclear, are making us all more vulnerable. Never mind what might happen if the coming war in Iraq goes badly.It's pointless to hope for a sane federal policy -- a crash program to drastically speed the inevitable transition to a hydrogen-based energy system. But the largest state, one of the world's major economies in its own right, does have some clout. We can hit the rip-off artists where it hurts, and protect ourselves from even more serious disruptions. Maybe next year.-- ----------------- R. A. Hettinga The Internet Bearer Underwriting Corporation 44 Farquhar Street, Boston, MA 02131 USA ""... however it may deserve respect for its usefulness and antiquity, [predicting the end of the world] has not been found agreeable to experience."" -- Edward Gibbon, 'Decline and Fall of the Roman Empire'--- end forwarded text -- ----------------- R. A. Hettinga The Internet Bearer Underwriting Corporation 44 Farquhar Street, Boston, MA 02131 USA ""... however it may deserve respect for its usefulness and antiquity, [predicting the end of the world] has not been found agreeable to experience."" -- Edward Gibbon, 'Decline and Fall of the Roman Empire'","www.ceert.org, www.ceert.org, www.ceert.org, www.siliconvalley.com, www.siliconvalley.com, www.siliconvalley.com","42.37, 42.37, 87.48, 87.48, 42.37, 87.48",1,0,"72.167.68.110, 72.167.68.110, 192.0.66.2, 192.0.66.2, 192.0.66.2, 72.167.68.110",1,"11, 11, 3, 11, 3, 3","0.16, 0.0028, 0.0028, 0.16, 0.0028, 0.16","982, 996, 982, 996, 996, 982","80, 995, 110, 22, 21, 587, 993, 80, 443, 993, 443, 8008, 80, 995, 8008, 22, 143, 3306, 993, 8008, 443, 80, 21, 110, 587, 80, 443, 110, 587, 8008, 21, 143, 3306, 443, 22, 80, 995, 8008, 8008, 3306, 443, 143","110.68.167.72.host.secureserver.net, , 110.68.167.72.host.secureserver.net, 110.68.167.72.host.secureserver.net",1,"submission, http, ftp, pop3s, mysql, imaps, imap, ssh, https, http, ssh, http, https, submission, pop3s, mysql, ftp, http, http, https, https, imaps, pop3, imap, ssh, https, http, pop3s, ftp, mysql, pop3, imaps, submission, imap, pop3, https",0,0,0,0,Safe Email
"The academic discipline of Software Engineering was launched at a conference
sponsored by NATO, at Garmisch, Germany, in October, 1968. Intriguingly, the
term Software Engineering was chosen to be deliberately provocative -- why
can't software be developed with the same rigor used by other engineering
disciplines?The proceedings of this conference are now available online, at:
http://www.cs.ncl.ac.uk/old/people/brian.randell/home.formal/NATO/index.htmlAlso, don't miss the pictures of attendees, including many significant
contributors to the field of Software Engineering:
http://www.cs.ncl.ac.uk/old/people/brian.randell/home.formal/NATO/N1968/inde
x.html- Jim",www.cs.ncl.ac.uk,52.58,1,0,128.240.208.85,1,3,0.077,996,"80, 443, 443, 8008, 80, 8008, 443, 80, 8008",apps-extweb-l.ncl.ac.uk,1,"https, http, https, http, https, http",0,0,0,0,Safe Email
"EFFector       Vol. 15, No. 35       November 8, 2002     ren@eff.orgA Publication of the Electronic Frontier Foundation     ISSN 1062-9424In the 234th Issue of EFFector:    * ALERT UPDATE: Urge Your Representative to Co-Sponsor the DMCRA!
    * ALERT: Bait and Switch: Anticounterfeiting Bill Hurts Your 
      Rights!
    * Canadian Trademark Law Overreaching
    * Give Twice as Many Gifts this Holiday Season!
    * Deep Links (4): Security Technologies Could Backfire Against 
      Consumers
    * AdministriviaFor more information on EFF activities & alerts: http://www.eff.org/To join EFF or make an additional donation:
  http://www.eff.org/support/
EFF is a member-supported nonprofit. Please sign up as a member today!-----------------------------------------------------------------* ALERT UPDATE: Urge Your Representative to Co-Sponsor the DMCRA!As the legislative season ends, it is vitally important to gather
support for legislation that will be center-stage in the next session.
This is an opportunity to ask your representative to take a stand for
your rights. Ask her/him to co-sponsor the DMCRA today!Representatives Rick Boucher and John Doolittle recently introduced
the Digital Media Consumers' Rights Act (DMCRA, H.R. 5544), which
would require labelling on usage-impaired ""copy-protected"" compact
discs and would make several several amendments to 1998's infamous
Digital Millennium Copyright Act (DMCA).Take action here:
http://action.eff.org/action/index.asp?step=2&item=2224Join EFF! For membership information see:
http://www.eff.org/support/-=end=-----------------------------------------------------------* ALERT: Bait and Switch; Anticounterfeiting Bill Hurts Your Rights!Don't be fooled by Senator Biden's ""Anticounterfeiting Amendments of
2002"" (S. 2395, also known as ""the Biden Bill""). It started as an
attempt to stop organized crime from forging holograms and
counterfeiting money, but its scope has been greatly expanded to
include digital watermarks on copyrighted material. This is a sneaky
power-grab that would greatly diminish the rights of the public in
copyrighted works while expanding the power of copyright owners. It
goes well beyond the scope of current copyright law and could:~ Prevent universities, libraries, and consumers from enjoying the
exceptions to the Copyright Act adopted by Congress. S. 2935 could
prohibit the use of interface information essential for software
interoperability and competition~ Impose new responsibilities on Internet service providers and could
also require consumer electronics and computer manufacturers to
reconfigure their products.~ Impose more severe criminal and civil penalties than permitted by
the Copyright Act for identical behaviorThis ""anticounterfeiting"" bill is a decoy; stand up for your rights
today! Subscribe to the EFF Action Center and send your member of
Congress an email, letter or fax. You can take action by going to:http://action.eff.org/action/index.asp?step=2&item=2274Join EFF! For membership information see:
http://www.eff.org/support/-=end=-----------------------------------------------------------* Canadian Trademark Law OverreachingEFF has been involved in several cases involving overreaching
trademark claims on the Internet. Recently we have learned about a
Canadian lawsuit over the website www.lawsnet.com, a nonprofit legal
information website focusing on the laws of Canada and China that seem
especially egregious.Lawsnet.com is a free legal information website that has been
published since 1998. Last year, Lawsnet.com's owner Ling Xia was sued
by Quicklaw, a subsidiary of global publishing giant LexisNexus Group.
Quicklaw claims that Lawsnet.com violates its rights in the name
LAW/NET. However, LAW/NET does not have a public Internet website
under that domain name. The name appears on a subsidiary webpage of
the Quicklaw.com website that offers public ""teasers"" in the form of
summaries of recent Canadian cases, with the full text only available
through the private, proprietary paid Quicklaw service for Canadian
lawyers. It seems clear that the two names are substantially
different, are used in different places (one as a teaser for a closed
computer service and the other for information freely available on the
public internet) and are not causing any consumer confusion. Even more
problematic, Quicklaw does not even have a Canadian trademark in the
term LAW/NET -- it applied for one in 1997 but has repeatedly filed
requests for extensions of time with the Canadian trademark
authorities. In contrast, Ms. Xia is in the final stages of having a
Canadian trademark issued for ""lawsnet.""Regardless of its weak case, Quicklaw has managed to drag Ms. Xia
through over a year of litigation and recently succeeded in securing a
court order requiring her to undergo an extensive ""discovery"" process
that threatens to drive her under. Although she has had some free
legal assistance in the past, this next phase will require
significantly more legal resources than her volunteer attorneys can
muster. Quicklaw is represented by a large Toronto firm, Borden Ladner
and Gervais, LLP.Abuse of trademark law (even here, when no official trademark has even
been granted) is a growing problem on the Internet, and it is
unfortunately becoming an international problem. EFF urges Quicklaw,
and its US-based parent company, to stop beating up on this free and
useful website. While trademark law is important when misuse of a mark
is causing consumer confusion, it does not -- and should not -- grant
ownership in words, especially descriptive words like ""laws"" and ""net""
when describing an online legal information service. Trademark law
should also not be a license for large corporations who sell legal
information (or any other nonproprietary information) to stop
individuals who want to use the power of the Internet to provide free
legal information to the public.For those who wish to help Ms. Xia directly, local Toronto lawyer and
part-time law professor Gil Lan has agreed to act as trustee for a
legal defence fund to be established for Ms. Xia. If you wish to help,
please contact:Mr. Gil Lan
Barrister & Solicitor
393 University Avenue
Suite 2000
Toronto, Ontario, M5G 1E6or by email at:
glan@globalbusinesslaw.comor Ling Xia at:
editor@lawsnet.com-=end=-----------------------------------------------------------* Give Twice as Many Gifts this Holiday Season!EFF has signed up with ShopsThatGive.com, a portal site for dozens of
online shops that donates a portion of their referral fees to a
charity of your choice. If you shop online at any of the websites
available through ShopsThatGive, including Alibris, buy.com, Disney
Store, eBay, eToys, Half.com, Lens Express, McAfee, Office Depot,
Palm, Petsmart, REI, Rail Europe, and Verizon Wireless, part of your
purchase can be donated back to EFF. From the main ShopsThatGive page,
simply select EFF as your designated cause, select a merchant or
category, and you're all set. It won't cost you anything extra and it
would help us out a lot. Please keep this giving opportunity in mind,
especially throughout the upcoming holiday season.Links:
ShopsThatGive:
http://www.shopsthatgive.com/Complete List of Participating Merchants:
http://www.shopsthatgive.com/category.aspxBuy EFF-related books through Amazon or Barnes&Noble:
http://www.eff.org/promo/books.html-=end=-----------------------------------------------------------* Deep Links
Deep Links features noteworthy news items, victories, and threats from
around the Internet.~ Security Technologies Could Backfire Against Consumers
Robert Lemos at news.com with a balanced piece on trusted computing.
http://news.com.com/2009-1001-964628.html?tag=fd_lede1_hed~ Barbie's Kinky Rival Wins First Court Battle
Mattel loses first round in intellectual property battle over S&M doll
with Barbie head.
http://www.thescotsman.co.uk/international.cfm?id=1242812002~ Unspooled
In the digital age, the quaint cassette is sent reeling into history's
dustbin.
http://www.washingtonpost.com/wp-dyn/articles/A32476-2002Oct28.html~ The Meaning and Importance of the TEACH Act
The American Library Association on the latest amendment to US
copyright law.
http://www.ala.org/washoff/teach.html-=end=-----------------------------------------------------------* AdministriviaEFFector is published by:The Electronic Frontier Foundation
454 Shotwell Street
San Francisco CA 94110-1914 USA
+1 415 436 9333 (voice)
+1 415 436 9993 (fax)
  http://www.eff.org/Editor:
Ren Bucholz, Activist
  ren@eff.orgTo Join EFF online, or make an additional donation, go to:
  http://www.eff.org/support/Membership & donation queries: membership@eff.org
General EFF, legal, policy or online resources queries: ask@eff.orgReproduction of this publication in electronic media is encouraged.
Signed articles do not necessarily represent the views of EFF. To
reproduce signed articles individually, please contact the authors for
their express permission. Press releases and EFF announcements &
articles may be reproduced individually at will.To change your address, please visit http://action.eff.org/subscribe/.
>>From there, you can update all your information. If you have already
subscribed to the EFF Action Center, please visit
http://action.eff.org/action/login.asp.To unsubscribe from the EFFector mailing list, send an email to
alerts@action.eff.org with the word ""Remove"" in the subject.(Please ask ren@eff.org to manually remove you from the list if this
does not work for you for some reason.)Back issues are available at:
  http://www.eff.org/effector ++++++++++++++++++++++++
You received this message because legit-lists-eff@jmason.org is a member of
the mailing list originating from alerts@action.eff.org. To unsubscribe 
from all mailing lists originating from alerts@action.eff.org, send an 
email from legit-lists-eff@jmason.org to alerts@action.eff.org with 'Remove' as the
only text in the subject line.","news.com.com, www.eff.org, www.lawsnet.com, www.thescotsman.co.uk, www.eff.org, action.eff.org, action.eff.org, , www.thescotsman.co.uk, www.washingtonpost.com, www.lawsnet.com, www.eff.org, www.ala.org, news.com.com, www.thescotsman.co.uk, www.washingtonpost.com, www.lawsnet.com, www.ala.org, news.com.com, www.washingtonpost.com, action.eff.org, www.ala.org","42.83, 44.92, 33.33, 42.18, 42.96, 42.83, 44.92, 33.33, 42.18, 42.96, 91.07, 42.83, 44.92, 33.33, 0.09, 43.95, 0.09, 91.07, 43.95, 0.09, 91.07, 43.95, 42.96, 42.18","1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 3, 0, 0, 0, 3, 0, 3","172.67.72.218, 151.101.0.201, 34.105.168.53, 138.12.4.174, 69.174.83.137, 23.49.226.94, 69.174.83.137, , 34.105.168.53, 23.49.226.94, 138.12.4.174, 151.101.0.201, 23.185.0.1, 172.67.72.218, 34.105.168.53, 151.101.0.201, 23.185.0.1, 172.67.72.218, 23.49.226.94, 69.174.83.137, 138.12.4.174, 23.185.0.1","1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1","5, 3, 1, 0, 5, 3, 3, 3, 3, 3, 3, 3, 0, 3, 1, 3, 5, 0, 1, 3, 3, 3, 3, 3","0.0094, 0.0061, 0.022, 0.003, 0.067, 0.022, 0.15, 0.0039, 0.003, 0.0094, 0.022, 0.15, 0.0039, , 0.067, 0.003, 0.0061, 0.067, 0.0061, 0.0094, 0.0039, 0.15","994, 996, 996, 996, 0, 0, 994, 996, 996, 998, 996, 996, 996, 998, 996, 0, 996, 994, 0, 0, 996, 998, 996","80, 80, 443, 8008, 80, 443, 8008, 443, 8008, 443, 8008, 80, 443, 8008, 8008, 443, 443, 8008, 80, 80, 8443, 8080, 8008, 443, 8008, 443, 8008, 443, 8008, 80, 443, , 8008, 443, 80, 8008, 8008, 443, 80, 80, 80, 8008, 80, 80, 80, 8080, 8443, 8008, 443, 80, 443, 80, 8008, 8008, 443, 80, 8008, 443, 80, 8008, 8008, 8080, 443, 8443","a23-49-226-94.deploy.static.akamaitechnologies.com, 53.168.105.34.bc.googleusercontent.com, a23-49-226-94.deploy.static.akamaitechnologies.com, , 53.168.105.34.bc.googleusercontent.com, a23-49-226-94.deploy.static.akamaitechnologies.com, lexisnexis.com.br, 53.168.105.34.bc.googleusercontent.com, lexisnexis.com.br, lexisnexis.com.br","1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1","https-alt, http, https, http, http-proxy, https, http, https, https, https, https-alt, http-proxy, http, https, https, http, , http, https, http, https, http, http, https, http, https, https, http, https, http, http, http, http, http, https-alt, https, http, https, http, http, https, http, https, http, https, http-proxy",0,0,0,0,Safe Email
"Question?Do you want a different job?
Do you want to be your own boss?
Do you need extra income?
Do you need to start a new life?
Does your current job seem to go nowhere?If you answered yes to these questions, then here is your solution.We are a fortune 500 company looking for motivated individuals who are 
looking
to a substantial income working from home.Thousands of individual are currently do this RIGHT NOW.
So if you are looking to be employed at home, with a career that will
provide you vast opportunities and a substantial income, please fill
out our online information request form here now:http://ter.netblah.com:27000To miss out on this opportunity, click herehttp://ter.netblah.com:27000/remove.html",,0.11,0,0,,0,0,,0,,,0,,0,0,0,0,Phishing Email
"URL: http://www.livejournal.com/talkread.bml?journal=jwz&itemid=63309
Date: Not suppliedhttp://www.livejournal.com/talkread.bml?journal=jwz&itemid=63309",www.livejournal.com,34.98,1,1,81.19.74.1,1,3,0.073,0,"80, 443, 443, 8008, 80, 8008, 443, 80, 8008",livejournal.com,1,"https, http, https, http, https, http",0,0,0,0,Safe Email
"Thanks Brent: now it's clearer (to me) what's needed. I've used the global
sort and J C Lawrence's re-scan, but there is still a vulnerability there:
If I have an instance of exmh running, the folder I'm visiting will have
its new, correct .xmhcache overwritten with an incorrect one when I switch
folders. I can cron the sort and re-scan process, but I should kill running
exmh's first.Best would be to have a button for ""Global sort and update all scan caches""
in the exmh More... menu--
rick>>>>> ""Brent"" == Brent Welch 
>>>>> wrote the following on Tue, 10 Sep 2002 14:31:48 -0700  Brent> There is an ""Update all scan caches"" menu entry that rescans your
  Brent> folders similar to the short scripts folks have shared around.  It
  Brent> runs in the background._______________________________________________
Exmh-users mailing list
Exmh-users@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-users",,0.12,0,0,,0,0,,0,,,0,,0,0,0,0,Safe Email
"Help wanted.  We are a 14 year old fortune 500 company, that is
growing at a tremendous rate.  We are looking for individuals who
want to work from home.This is an opportunity to make an excellent income.  No experience
is required.  We will train you.So if you are looking to be employed from home with a career that has
vast opportunities, then go:http://www.basetel.com/wealthnowWe are looking for energetic and self motivated people.  If that is you
than click on the link and fill out the form, and one of our
employement specialist will contact you.To be removed from our link simple go to:http://www.basetel.com/remove.html
4139vOLW7-758DoDY1425FRhM1-764SMFc8513fCsLl40",www.basetel.com,88.59,1,11,96.126.123.244,1,3,0.16,996,"80, 443, 443, 8008, 80, 8008, 443, 80, 8008",li372-244.members.linode.com,1,"https, http, https, http, https, http",0,0,0,0,Phishing Email
